Borsa_Fiyati,Sistem_Hacmi,Sebekeden_Alis,Sebekeye_Satis,Kooperatif_Tasarrufu
7.28180094968584,11.1525,759.5325,0,45.5022
7.34075501562709,-0.1265,683.8415,0,-0.51612
7.34070886013362,-0.1265,728.3515,0,-0.51612
7.34074569429164,-0.1265,692.3865,0,-0.51612
7.34074867434943,-0.1265,689.6315,0,-0.51612
3.08996944958827,-0.1265,704.1715,0,0.021505
3.08992945097737,-0.1265,305.0765,0,0.021505
3.08980350591858,-0.1265,109.6965,0,0.021505
3.08993799439773,-0.1265,347.0765,0,0.021505
3.08993401825889,-0.1265,326.1765,0,0.021505
3.08993531815318,-0.1265,332.7265,0,0.021505
3.08993643657624,-0.1265,338.5765,0,0.021505
3.08993471928991,-0.1265,329.6765,0,0.021505
4.97065416490889,-0.1265,330.9265,0,-0.216315
4.97064499729406,-0.1265,335.6265,0,-0.216315
4.97008251971724,-0.1265,2621.6265,0,-0.216315
4.81766756747503,256.0132,2361.8368,0,437.782572
4.63185951030582,627.374,1917.926,0,1072.80954
4.60625026829165,728.445,1967.555,0,1245.64095
4.54710624733951,878.426,1795.124,0,1502.10846
4.55085392156283,871.101,1811.649,0,1489.58271
4.4872312869401,989.391,1525.709,0,1691.85861
4.58555210122438,763.007,1867.793,0,1304.74197
4.72729627031811,437.283,2206.367,0,747.75393
7.31469133471943,21.1061,3360.2939,0,86.112888
7.34016726332193,-0.1265,3085.9265,0,-0.51612
7.34016576717664,-0.1265,3113.7765,0,-0.51612
7.34017225396814,-0.1265,2996.5265,0,-0.51612
7.34016937385787,-0.1265,3047.4765,0,-0.51612
3.08999274967394,-0.1265,2966.3265,0,0.021505
3.08995610987125,-0.1265,490.2265,0,0.021505
3.08993567607422,-0.1265,334.5765,0,0.021505
3.08992945097737,-0.1265,305.0765,0,0.021505
3.08993653037643,-0.1265,339.0765,0,0.021505
3.08993492670365,-0.1265,330.7265,0,0.021505
3.08993652100887,-0.1265,339.0265,0,0.021505
3.08994215564046,-0.1265,372.0265,0,0.021505
4.97068308525974,-0.1265,316.9265,0,-0.216315
4.97059669235236,-0.1265,362.7765,0,-0.216315
4.97008280242464,-0.1265,2612.6765,0,-0.216315
4.82307872202126,247.8267,2388.7733,0,423.783657
4.70072834238261,498.8913,2170.4087,0,853.104123
4.57703686389024,782.3686,1839.7814,0,1337.850306
4.52096849468601,970.908,1755.592,0,1660.25268
4.4867681573105,1066.541,1641.059,0,1823.78511
4.4876996997313,986.3843,1524.4657,0,1686.717153
4.54611574485477,836.2721,1701.0779,0,1430.025291
4.72303734454333,453.0037,2230.6463,0,774.636327
7.31866586596421,17.6096,3332.4904,0,71.847168
7.34016905762624,-0.1265,3053.1765,0,-0.51612
7.34016893588753,-0.1265,3055.3765,0,-0.51612
7.34017242372901,-0.1265,2993.5765,0,-0.51612
7.34017310032605,-0.1265,2981.8765,0,-0.51612
3.08999288943644,-0.1265,3024.6265,0,0.021505
3.0899568712666,-0.1265,498.8765,0,0.021505
3.0899360014999,-0.1265,336.2765,0,0.021505
3.08993296937413,-0.1265,321.0765,0,0.021505
3.08993393718119,-0.1265,325.7765,0,0.021505
3.08993197278912,-0.1265,316.3765,0,0.021505
3.08992564573764,-0.1265,289.4765,0,0.021505
3.08993342589626,-0.1265,323.2765,0,0.021505
4.97061024307882,-0.1265,354.7265,0,-0.216315
4.9706794378301,-0.1265,318.6265,0,-0.216315
4.9700839642996,-0.1265,2576.5265,0,-0.216315
4.7037279409729,489.321,2163.779,0,836.73891
4.48201165149821,1032.992,1553.808,0,1766.41632
4.28815943880313,1749.565,888.635,0,2991.75615
4.22818406869151,2026.619,618.431,0,3465.51849
